組織コード,上位組織コード,組織名,会社コード,会社名,発令区分,組織レベル
org_a,,A社,comp_a,A社,both,1
org_a_keiei,org_a,経営企画本部,comp_a,A社,both,2
org_a_eigyo,org_a,営業本部,comp_a,A社,both,2
org_a_shukko,org_a,出向管理部,comp_a,A社,both,2
org_a_kikaku,org_a_keiei,経営企画部,comp_a,A社,both,3
org_a_dx,org_a_keiei,DX推進室,comp_a,A社,both,3
org_a_eigyo1,org_a_eigyo,営業第一部,comp_a,A社,both,3
org_a_eigyo2,org_a_eigyo,営業第二部,comp_a,A社,both,3
org_a_eigyo_kikaku,org_a_eigyo,営業企画部,comp_a,A社,both,3
org_a_senryaku,org_a_kikaku,経営戦略室,comp_a,A社,both,4
org_a_gyomu,org_a_kikaku,業務推進課,comp_a,A社,both,4
org_a_ka1,org_a_eigyo1,営業一課,comp_a,A社,both,4
org_a_ka2,org_a_eigyo1,営業二課,comp_a,A社,both,4
org_b,,B社,comp_b,B社,both,1
org_b_eigyo,org_b,営業部,comp_b,B社,both,2
org_b_kaihatsu,org_b,開発部,comp_b,B社,both,2
org_c,,C社,comp_c,C社,both,1
org_c_jigyou,org_c,事業部,comp_c,C社,both,2
